Week End,Week End Last Year,Region,Crude Volumes For The Week,Percent Of Capacity,4 Week Average,4 Week Average Last Year,YTD Average,YTD Average Last Year,Unit
07/10/1990,01/02/1990,Western Canada,76.42,90.33,76.73,63.77,69.69,63.77,thousand cubic metres per day
07/17/1990,01/02/1990,Ontario,74.76,72.37,79.51,83.36,74.47,83.36,thousand cubic metres per day
07/17/1990,01/02/1990,Quebec & Eastern Canada,86.93,95.42,75.88,86.05,81.24,86.05,thousand cubic metres per day
07/17/1990,01/02/1990,Western Canada,75.57,89.33,76.55,63.77,69.89,63.77,thousand cubic metres per day
07/24/1990,01/02/1990,Ontario,74.54,72.16,77.78,83.36,74.47,83.36,thousand cubic metres per day
07/24/1990,01/02/1990,Quebec & Eastern Canada,88.64,97.3,80.12,86.05,81.49,86.05,thousand cubic metres per day
07/24/1990,01/02/1990,Western Canada,63.74,75.34,73.1,63.77,69.69,63.77,thousand cubic metres per day
07/31/1990,01/02/1990,Ontario,82.31,79.68,78.12,83.36,74.72,83.36,thousand cubic metres per day
07/31/1990,01/02/1990,Quebec & Eastern Canada,89.44,98.18,84.96,86.05,81.74,86.05,thousand cubic metres per day
07/31/1990,01/02/1990,Western Canada,65.49,77.41,70.31,63.77,69.55,63.77,thousand cubic metres per day
08/07/1990,01/02/1990,Ontario,84.27,81.58,78.97,83.36,75.02,83.36,thousand cubic metres per day
08/07/1990,01/02/1990,Quebec & Eastern Canada,89.28,98.0,88.57,86.05,81.98,86.05,thousand cubic metres per day
08/07/1990,01/02/1990,Western Canada,69.68,82.36,68.62,63.77,69.56,63.77,thousand cubic metres per day
08/14/1990,01/02/1990,Ontario,82.2,79.57,80.83,83.36,75.24,83.36,thousand cubic metres per day
08/14/1990,01/02/1990,Quebec & Eastern Canada,83.7,91.88,87.77,86.05,82.03,86.05,thousand cubic metres per day
08/14/1990,01/02/1990,Western Canada,80.41,95.05,69.83,63.77,69.89,63.77,thousand cubic metres per day
08/21/1990,01/02/1990,Ontario,85.32,82.59,83.53,83.36,75.53,83.36,thousand cubic metres per day
08/21/1990,01/02/1990,Quebec & Eastern Canada,84.29,92.52,86.68,86.05,82.09,86.05,thousand cubic metres per day
08/21/1990,01/02/1990,Western Canada,81.79,96.68,74.35,63.77,70.24,63.77,thousand cubic metres per day
08/28/1990,01/02/1990,Ontario,84.74,82.03,84.13,83.36,75.8,83.36,thousand cubic metres per day
